frameId;frame_main;frame_calib;frame_above;swimmerId;swimmerName;eventX;eventY;event;anno_type;custom_event;Temps (s);distance (m)
773;338;773;773;0;A;20.5318;4.5543;track;interp;;12.9;20.5318
774;339;774;774;0;A;20.5048;4.5593;track;interp;;12.91;20.5048
775;340;775;775;0;A;20.5061;4.6046;track;interp;;12.93;20.5061
776;341;776;776;0;A;20.479;4.6097;track;interp;;12.95;20.479
777;342;777;777;0;A;20.452;4.6147;track;interp;;12.96;20.452
778;343;778;778;0;A;20.4532;4.6602;track;interp;;12.98;20.4532
779;344;779;779;0;A;20.4261;4.6652;track;interp;;13;20.4261
780;345;780;780;0;A;20.4272;4.7109;track;interp;;13.01;20.4272
781;346;781;781;0;A;20.4001;4.7159;track;interp;;13.03;20.4001
782;347;782;782;0;A;20.3729;4.721;track;interp;;13.05;20.3729
783;348;783;783;0;A;20.374;4.7668;track;interp;;13.06;20.374
784;349;784;784;0;A;20.3468;4.7719;track;interp;;13.08;20.3468
785;350;785;785;0;A;20.3196;4.7769;track;interp;;13.1;20.3196
786;351;786;786;0;A;20.3205;4.8229;track;interp;;13.11;20.3205
787;352;787;787;0;A;20.2933;4.828;track;interp;;13.13;20.2933
788;353;788;788;0;A;20.2942;4.8742;track;interp;;13.15;20.2942
789;354;789;789;0;A;20.2669;4.8792;track;interp;;13.16;20.2669
790;355;790;790;0;A;20.2397;4.8843;track;interp;;13.18;20.2397
791;356;791;791;0;A;20.2404;4.9307;track;interp;;13.2;20.2404
792;357;792;792;0;A;20.2131;4.9357;track;interp;;13.21;20.2131
793;358;793;793;0;A;20.2139;4.9823;track;interp;;13.23;20.2139
794;359;794;794;0;A;20.1865;4.9874;track;interp;;13.25;20.1865
795;360;795;795;0;A;20.1592;4.9925;track;interp;;13.26;20.1592
796;361;796;796;0;A;20.1598;5.0392;track;interp;;13.28;20.1598
797;362;797;797;0;A;20.1324;5.0443;track;interp;;13.3;20.1324
798;363;798;798;0;A;20.105;5.0494;track;interp;;13.31;20.105
799;364;799;799;0;A;20.1055;5.0963;track;interp;;13.33;20.1055
800;365;800;800;0;A;20.0781;5.1014;track;interp;;13.35;20.0781
801;366;801;801;0;A;20.0786;5.1485;track;interp;;13.36;20.0786
802;367;802;802;0;A;20.0511;5.1536;track;interp;;13.38;20.0511
803;368;803;803;0;A;20.0236;5.1587;track;interp;;13.4;20.0236
804;369;804;804;0;A;20.0239;5.206;track;interp;;13.41;20.0239
805;370;805;805;0;A;19.9964;5.2111;track;interp;;13.43;19.9964
